time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2022-02-12T05:05:41.100Z,38.8074989,-122.807663,0.83,1.04,md,22,50,0.009668,0.06,nc,nc73691766,2022-02-12T05:23:17.936Z,"6km NW of The Geysers, CA",earthquake,0.19,0.41,0.13,4,automatic,nc,nc
2022-02-12T04:48:11.980Z,17.9871666666667,-66.9998333333333,9.93,1.57,md,5,153,,0.03,pr,pr71334408,2022-02-12T14:00:51.800Z,"5 km ENE of La Parguera, Puerto Rico",earthquake,0.46,0.9,0.00879424069257706,4,reviewed,pr,pr
2022-02-12T04:43:45.810Z,63.3137,-151.2399,16.9,1.4,ml,,,,0.41,ak,ak0221z6qyz9,2022-02-12T04:47:01.744Z,"34 km SE of Denali National Park, Alaska",earthquake,,0.4,,,automatic,ak,ak
2022-02-12T04:38:44.280Z,35.1195,-118.1558333,4.5,1.23,ml,12,115,0.1189,0.2,ci,ci40183800,2022-02-12T04:48:16.230Z,"8km NNE of Mojave, CA",earthquake,0.54,1.16,0.184,23,automatic,ci,ci
2022-02-12T04:33:04.945Z,-9.8407,160.2241,33.04,5,mb,,74,0.483,0.62,us,us7000gk7u,2022-02-12T05:56:38.779Z,"54 km SE of Honiara, Solomon Islands",earthquake,7.9,5.7,0.082,54,reviewed,us,us
2022-02-12T04:07:57.782Z,-23.4352,-175.6328,10,4.9,mb,,124,6.154,1.36,us,us7000gk7r,2022-02-12T04:28:00.040Z,"243 km SSW of ‘Ohonua, Tonga",earthquake,12.6,1.9,0.074,61,reviewed,us,us
2022-02-12T03:47:48.450Z,17.9993333333333,-66.7168333333333,14.03,1.79,md,9,147,,0.16,pr,pr71334353,2022-02-12T04:00:03.080Z,"0 km N of Tallaboa, Puerto Rico",earthquake,0.7,0.55,0.067680826416548,3,reviewed,pr,pr
2022-02-12T03:45:49.240Z,19.4125,-155.2615,13.1,2.73,ml,25,81,,0.08,hv,hv72913877,2022-02-12T04:14:50.040Z,"4 km SW of Volcano, Hawaii",earthquake,0.6,0.42,0.199902757278102,31,reviewed,hv,hv
2022-02-12T03:45:18.480Z,45.6198333,-111.785,3.24,1.52,ml,21,53,0.111,0.19,mb,mb80538229,2022-02-12T15:13:48.650Z,"8 km S of Harrison, Montana",earthquake,0.31,1.14,0.151,6,reviewed,mb,mb
2022-02-12T03:38:13.790Z,32.7498333,-115.416,9.12,1.48,ml,15,73,0.06111,0.2,ci,ci40183776,2022-02-12T03:41:56.565Z,"8km SSW of Holtville, CA",earthquake,0.51,1.45,0.217,17,automatic,ci,ci
2022-02-12T03:22:30.490Z,17.9571666666667,-66.9101666666667,15.57,2.43,md,12,203,,0.25,pr,pr71334348,2022-02-12T03:45:10.200Z,"1 km S of Guánica, Puerto Rico",earthquake,0.73,0.71,0.0804564875731875,5,reviewed,pr,pr
2022-02-12T03:19:27.030Z,17.9458333333333,-66.9011666666667,13.16,2.41,md,10,213,,0.09,pr,pr71334343,2022-02-12T04:01:13.490Z,"2 km SSE of Guánica, Puerto Rico",earthquake,0.55,0.31,0.197856477665699,7,reviewed,pr,pr
2022-02-12T03:15:54.956Z,60.3122,-152.5351,102,2.1,ml,,,,0.83,ak,ak0221z5zk10,2022-02-12T03:54:46.459Z,"56 km WNW of Ninilchik, Alaska",earthquake,,0.9,,,automatic,ak,ak
